repetition,window,cell,odigos,accepted,refusal_reason,cpu_ms_per_req,half1_cpu_ms,half2_cpu_ms,spans_per_req,requests,achieved_rps,p50_ms,p95_ms,p99_ms,error_rate,dropped
3,02-off,xl,off,False,half-window CPU/req differ by 5.55% (14.0972 vs 13.3365) - not settled,13.7111,14.0972,13.3365,0,34800,58,82.584,85.325,87.13,0,0
3,03-100,s,on,True,,1.5344,1.5447,1.5241,1.005,300001,500.0,1.551,2.01,4.336,0,0
3,03-100,schatty,on,True,,3.1757,3.2049,3.1468,2.012,180001,300.0,3.227,4.393,11.743,0,0
3,03-100,m,on,True,,6.2103,6.2471,6.1741,2.014,90000,150,6.333,6.926,13.08,0,0
3,03-100,l,on,True,,3.7365,3.7332,3.7398,20.163,119400,199,43.557,45.992,48.946,0,0
3,03-100,xl,on,True,,13.7142,13.7733,13.6568,20.25,34800,58,82.828,84.305,88.412,0,0
3,04-100,s,on,True,,1.5448,1.5369,1.5528,1.0,300001,500.0,1.568,2.032,3.413,0,0
3,04-100,schatty,on,True,,3.1089,3.1107,3.107,2.003,180000,300,3.206,3.659,6.892,0,0
3,04-100,m,on,True,,6.1764,6.1835,6.1695,2.013,90000,150,6.358,6.784,11.057,0,0
3,04-100,l,on,True,,3.8009,3.7965,3.8052,20.123,119400,199,43.667,46.075,48.172,0,0
3,04-100,xl,on,True,,13.6348,13.6393,13.6304,20.137,34800,58,83.181,85.09,88.209,0,0
4,01-off,s,off,True,,1.4738,1.4903,1.4574,0,300001,500.0,1.504,1.796,4.788,0,0
4,01-off,schatty,off,True,,3.0501,3.0689,3.0316,0,180000,300,3.11,4.295,29.411,0,0
4,01-off,m,off,True,,6.1132,6.1874,6.0407,0,90000,150,6.219,7.318,47.027,0,0
4,01-off,l,off,True,,3.2577,3.2632,3.2523,0,119400,199,43.076,44.704,46.92,0,0
4,01-off,xl,off,True,,13.3958,13.4896,13.3048,0,34800,58,82.499,84.099,88.692,0,0
4,02-off,s,off,True,,1.4727,1.4865,1.4588,0,300001,500.0,1.514,1.805,3.022,0,0
4,02-off,schatty,off,True,,2.9777,2.9798,2.9755,0,180000,300,3.084,3.506,7.353,0,0
4,02-off,m,off,True,,5.9559,5.9667,5.9452,0,90000,150,6.161,6.6,11.183,0,0
4,02-off,l,off,True,,3.2197,3.2054,3.2337,0,119400,199,43.036,44.595,46.098,0,0
4,02-off,xl,off,False,half-window CPU/req differ by 12.19% (15.1745 vs 13.4304) - not settled,14.2926,15.1745,13.4304,0,34800,58,83.524,86.196,88.168,0,0
4,03-100,s,on,True,,1.5321,1.5344,1.5299,1.004,300001,500.0,1.551,1.844,4.612,0,0
4,03-100,schatty,on,True,,3.1452,3.1717,3.1191,2.011,180000,300,3.232,4.143,16.555,0,0
4,03-100,m,on,True,,6.2827,6.3339,6.2323,2.019,90000,150,6.429,7.009,14.802,0,0
4,03-100,l,on,True,,3.9304,3.9196,3.9409,20.193,119400,199,43.904,46.288,50.266,0,0
4,03-100,xl,on,True,,13.6569,13.7171,13.5985,20.243,34800,58,83.516,84.969,88.941,0,0
4,04-100,s,on,True,,1.5319,1.5306,1.5332,1.0,299999,500.0,1.545,1.843,2.937,0,0
4,04-100,schatty,on,True,,3.0813,3.0882,3.0744,1.999,180000,300,3.203,3.55,6.796,0,0
4,04-100,m,on,True,,6.2371,6.2486,6.2256,2.005,90000,150,6.445,6.862,10.771,0,0
